Epoch: 304/500, Train Loss=0.2790036798, Val Loss=0.383090462
Epoch: 305/500, Train Loss=0.3299642205, Val Loss=0.3885791472
Epoch: 306/500, Train Loss=0.395016253, Val Loss=0.3846992623
Epoch: 307/500, Train Loss=0.3291487098, Val Loss=0.3885695083
Epoch: 308/500, Train Loss=0.3340160847, Val Loss=0.3814968552
Epoch: 309/500, Train Loss=0.3681240082, Val Loss=0.3892839948
Epoch: 310/500, Train Loss=0.3332604766, Val Loss=0.380847298
Epoch: 311/500, Train Loss=0.3422067761, Val Loss=0.402752618
Epoch: 312/500, Train Loss=0.4020403624, Val Loss=0.3920178584
Epoch: 313/500, Train Loss=0.3580639362, Val Loss=0.3833037672
Epoch: 314/500, Train Loss=0.3573220372, Val Loss=0.3999975011
Epoch: 315/500, Train Loss=0.3380891681, Val Loss=0.3909260318
Epoch: 316/500, Train Loss=0.3093436956, Val Loss=0.383312671
Epoch: 317/500, Train Loss=0.3200405836, Val Loss=0.3905303138
Epoch: 318/500, Train Loss=0.3436626792, Val Loss=0.3893471729
Epoch: 319/500, Train Loss=0.3416312933, Val Loss=0.3828635727
Epoch: 320/500, Train Loss=0.3312796354, Val Loss=0.3851257336
Epoch: 321/500, Train Loss=0.2804096341, Val Loss=0.3831981733
Early Stopping
